,gca_dribbles,sca,sca_per90,gca,gca_per90,minutes_90s,sca_passes_live,sca_dribbles,lg_finish,sca_fouled,gca_passes_dead,gca_shots,gca_og_for,gca_fouled,gca_passes_live,sca_passes_dead,squad,age,sca_shots
0,,,,,,10.6,,,1st,,,,,,,,Shakhtar,18,
1,,,,,,20.4,,,2nd,,,,,,,,Shakhtar,19,
2,,,,,,19.5,,,1st,,,,,,,,Shakhtar,20,
3,,,,,,26.6,,,1st,,,,,,,,Shakhtar,21,
4,,,,,,23.0,,,1st,,,,,,,,Shakhtar,22,
5,,,,,,10.6,,,1st,,,,,,,,Shakhtar,23,
6,,,,,,6.2,,,3rd,,,,,,,,Anzhi,23,
7,,,,,,4.0,,,16th,,,,,,,,Anzhi,24,
8,,,,,,18.6,,,3rd,,,,,,,,Chelsea,24,
9,,,,,,26.7,,,1st,,,,,,,,Chelsea,25,
10,,,,,,30.4,,,10th,,,,,,,,Chelsea,26,
11,,,,,,17.0,,,1st,,,,,,,,Chelsea,27,
12,1,110,5.26,13,0.62,21.0,74,8,5th,7,1,2,0,1,8,15,Chelsea,28,6
13,0,134,5.75,10,0.43,23.3,81,6,3rd,6,3,0,0,1,6,36,Chelsea,29,5
14,0,145,5.02,13,0.45,28.9,98,6,4th,6,1,1,0,1,10,31,Chelsea,30,4
