,passes_into_penalty_area,squad,passes_progressive_distance,assisted_shots,passes_total_distance,assists,xa_net,passes_pct_long,passes_pct_medium,passes_completed_long,passes_long,passes_short,passes_pct,passes_completed_medium,progressive_passes,passes,crosses_into_penalty_area,age,passes_medium,lg_finish,passes_into_final_third,minutes_90s,passes_completed_short,xa,passes_completed,passes_pct_short
0,,Shakhtar,,,,2,,,,,,,,,,,,18,,1st,,10.6,,,,
1,,Shakhtar,,,,5,,,,,,,,,,,,19,,2nd,,20.4,,,,
2,,Shakhtar,,,,5,,,,,,,,,,,,20,,1st,,19.5,,,,
3,,Shakhtar,,,,6,,,,,,,,,,,,21,,1st,,26.6,,,,
4,,Shakhtar,,,,14,,,,,,,,,,,,22,,1st,,23.0,,,,
5,,Shakhtar,,,,4,,,,,,,,,,,,23,,1st,,10.6,,,,
6,,Anzhi,,,,1,,,,,,,,,,,,23,,3rd,,6.2,,,,
7,,Anzhi,,,,2,,,,,,,,,,,,24,,16th,,4.0,,,,
8,,Chelsea,,,,2,,,,,,,,,,,,24,,3rd,,18.6,,,,
9,,Chelsea,,,,3,,,,,,,,,,,,25,,1st,,26.7,,,,
10,,Chelsea,,,,6,,,,,,,,,,,,26,,10th,,30.4,,,,
11,,Chelsea,,,,2,,,,,,,,,,,,27,,1st,,17.0,,,,
12,44,Chelsea,3166,65,13734,7,+1.7,58.7,83.5,138,235,56,74.7,616,116,1029,6,28,738,5th,59,21.0,15,5.3,769,26.8
13,52,Chelsea,5127,82,19101,6,-0.2,58.8,87.1,191,325,61,77.8,895,186,1414,13,29,1028,3rd,62,23.3,14,6.2,1100,23.0
14,68,Chelsea,5165,71,22452,7,+0.1,62.2,85.9,248,399,72,77.9,970,189,1600,12,30,1129,4th,71,28.9,29,6.9,1247,40.3
