,lg_finish,on_xg_against,games_starts,minutes_90s,on_goals_against,games_subs,minutes_pct,minutes_per_sub,xg_plus_minus,plus_minus_per90,unused_subs,on_xg_for,minutes_per_game,games,plus_minus_wowy,xg_plus_minus_wowy,on_goals_for,xg_plus_minus_per90,plus_minus,minutes,minutes_per_start,points_per_match,squad,age
0,1st,,6,10.6,,14,,,,,,,48,20,,,,,,958,,,Shakhtar,18
1,2nd,,21,20.4,,8,,,,,,,63,29,,,,,,"1,834",,,Shakhtar,19
2,1st,,20,19.5,,2,,,,,,,80,22,,,,,,"1,755",,,Shakhtar,20
3,1st,,28,26.6,,0,,,,,,,86,28,,,,,,"2,395",,,Shakhtar,21
4,1st,,25,23.0,,2,,,,,,,77,27,,,,,,"2,068",,,Shakhtar,22
5,1st,,9,10.6,,5,,,,,,,68,14,,,,,,955,,,Shakhtar,23
6,3rd,,6,6.2,,1,,,,,,,79,7,,,,,,555,,,Anzhi,23
7,16th,,4,4.0,,0,,,,,,,90,4,,,,,,359,,,Anzhi,24
8,3rd,,18,18.6,,7,,,,,,,67,25,,,,,,"1,677",,,Chelsea,24
9,1st,,28,26.7,18,8,70.2,,,+1.16,1,,67,36,+0.28,,49,,+31,"2,402",,2.33,Chelsea,25
10,10th,,32,30.4,41,3,80.1,,,+0.20,0,,78,35,+0.20,,47,,+6,"2,739",,1.26,Chelsea,26
11,1st,,15,17.0,19,19,44.9,,,+1.06,0,,45,34,-0.57,,37,,+18,"1,534",,2.38,Chelsea,27
12,5th,15.2,20,21.0,19,16,55.3,,+12.5,+0.76,1,27.7,53,36,+0.29,-0.02,35,+0.60,+16,"1,890",,1.86,Chelsea,28
13,3rd,22.0,26,23.3,25,6,61.3,21,+14.0,+0.56,5,36.0,66,32,-0.19,-0.03,38,+0.60,+13,"2,097",76,1.94,Chelsea,29
14,4th,26.5,29,28.9,35,7,76.0,21,+26.3,+0.59,0,52.8,72,36,+0.81,+0.55,52,+0.91,+17,"2,600",85,1.75,Chelsea,30
