,dom_lg_games,dom_cup_goals,intl_cup_minutes,squad,dom_lg_assists,all_minutes,intl_cup_goals,all_assists,dom_cup_minutes,dom_cup_assists,intl_cup_games,dom_lg_minutes,all_goals,dom_lg_goals,dom_cup_games,age,intl_cup_assists,all_games
0,20,,40,Shakhtar,2,998,0,2,,,2,958,0,0,,18,0,22
1,29,,316,Shakhtar,5,"2,150",1,7,,,6,"1,834",6,5,,19,2,35
2,22,,638,Shakhtar,5,"2,393",1,7,,,8,"1,755",6,5,,20,2,30
3,28,,841,Shakhtar,6,"3,236",1,7,,,10,"2,395",4,3,,21,1,38
4,27,,504,Shakhtar,14,"2,572",1,14,,,6,"2,068",6,5,,22,0,33
5,14,,525,Shakhtar,4,"1,480",4,6,,,6,955,6,2,,23,2,20
6,7,,176,Anzhi,1,731,0,2,,,3,555,1,1,,23,1,10
7,4,,,Anzhi,2,359,,2,,,,359,0,0,,24,,4
8,25,,859,Chelsea,2,"2,536",0,4,,,11,"1,677",4,4,,24,2,36
9,36,1,486,Chelsea,3,"3,247",1,4,359,0,7,"2,402",4,2,6,25,1,49
10,35,1,642,Chelsea,6,"3,871",5,7,490,0,8,"2,739",11,5,6,26,1,49
11,34,4,,Chelsea,2,"1,997",,5,463,3,,"1,534",12,8,7,27,,41
12,36,4,429,Chelsea,7,"3,057",3,9,738,1,8,"1,890",13,6,11,28,1,55
13,32,2,895,Chelsea,6,"3,547",3,12,555,0,15,"2,097",8,3,9,29,6,56
14,36,1,528,Chelsea,7,"3,357",1,9,229,1,7,"2,600",11,9,4,30,1,47
